date,customer_id,product_id,page_views,purchase_amount
2023-04-17,C1006,P102,9,149.50
2023-04-17,C1001,P102,10,0.00
2023-04-17,C1002,P101,8,0.00
2023-04-17,C1003,P102,11,149.50
2023-04-17,C1004,P104,12,299.00
2023-04-17,C1005,P101,15,89.99
2023-04-17,C1006,P103,3,45.00
2023-04-18,C1001,P103,9,0.00
2023-04-18,C1002,P101,5,89.99
2023-04-18,C1003,P101,6,89.99
2023-04-18,C1004,P103,14,0.00
2023-04-18,C1005,P104,13,0.00
2023-04-18,C1006,P102,12,0.00
2023-04-18,C1001,P104,8,299.00
2023-04-18,C1002,P102,9,0.00
2023-04-18,C1003,P102,5,0.00
2023-04-19,C1004,P104,9,299.00
2023-04-19,C1005,P101,18,0.00
2023-04-19,C1006,P101,15,89.99
2023-04-19,C1001,P102,11,0.00
2023-04-19,C1002,P102,13,149.50
2023-04-19,C1003,P101,4,0.00
2023-04-19,C1004,P104,8,299.00
2023-04-19,C1005,P103,7,45.00
2023-04-20,C1006,P103,5,0.00
2023-04-20,C1001,P104,6,0.00
2023-04-20,C1002,P103,7,0.00
2023-04-20,C1003,P104,7,299.00
2023-04-20,C1004,P102,15,0.00
2023-04-20,C1005,P101,10,89.99
2023-04-20,C1006,P104,8,0.00
2023-04-20,C1001,P104,9,0.00
2023-04-21,C1002,P101,11,89.99
2023-04-21,C1003,P104,6,0.00
2023-04-21,C1004,P104,13,0.00
2023-04-21,C1005,P103,10,0.00
2023-04-21,C1006,P103,16,0.00
2023-04-21,C1001,P102,6,149.50
2023-04-21,C1002,P102,6,149.50
2023-04-21,C1003,P101,9,89.99
2023-04-21,C1004,P102,8,149.50
2023-04-22,C1005,P104,11,299.00
2023-04-22,C1006,P102,8,0.00
2023-04-22,C1001,P104,10,0.00
2023-04-22,C1002,P103,8,0.00
2023-04-22,C1003,P101,9,0.00
2023-04-22,C1004,P102,4,0.00
2023-04-22,C1005,P104,8,299.00
2023-04-22,C1006,P104,10,0.00
2023-04-22,C1001,P102,11,149.50
2023-04-23,C1002,P103,9,45.00
2023-04-23,C1003,P104,5,0.00
2023-04-23,C1004,P101,10,89.99
2023-04-23,C1005,P104,4,299.00
2023-04-23,C1006,P101,12,0.00
2023-04-23,C1001,P101,12,89.99
2023-04-23,C1002,P102,16,149.50
2023-04-23,C1003,P103,1,45.00
2023-04-23,C1004,P102,9,149.50
2023-04-23,C1005,P103,8,0.00
2023-04-23,C1006,P101,13,89.99
2023-04-24,C1001,P103,12,45.00
2023-04-24,C1002,P104,10,299.00
2023-04-24,C1003,P101,17,0.00
2023-04-24,C1004,P104,4,299.00
2023-04-24,C1005,P104,12,299.00
2023-04-24,C1006,P103,13,45.00
2023-04-24,C1001,P104,7,299.00
2023-04-24,C1002,P101,8,0.00
2023-04-25,C1003,P104,6,299.00
2023-04-25,C1004,P103,7,0.00
2023-04-25,C1005,P104,10,0.00
2023-04-25,C1006,P102,5,149.50
2023-04-25,C1001,P101,7,89.99
2023-04-25,C1002,P103,10,0.00
2023-04-25,C1003,P102,20,0.00
2023-04-25,C1004,P102,7,149.50
2023-04-26,C1005,P102,5,0.00
2023-04-26,C1006,P104,8,299.00
2023-04-26,C1001,P103,12,45.00
2023-04-26,C1002,P104,8,0.00
2023-04-26,C1003,P103,15,45.00
2023-04-26,C1004,P101,12,0.00
2023-04-26,C1005,P104,13,0.00
2023-04-26,C1006,P103,9,0.00
2023-04-26,C1001,P103,7,0.00
2023-04-27,C1002,P101,15,0.00
2023-04-27,C1003,P102,11,149.50
2023-04-27,C1004,P102,12,149.50
2023-04-27,C1005,P104,10,299.00
2023-04-27,C1006,P101,9,89.99
2023-04-27,C1001,P101,13,89.99
2023-04-27,C1002,P102,4,0.00
2023-04-27,C1003,P104,6,0.00
2023-04-27,C1004,P101,6,0.00
2023-04-28,C1005,P101,7,89.99
2023-04-28,C1006,P103,8,0.00
2023-04-28,C1001,P104,10,0.00
2023-04-28,C1002,P103,1,45.00
2023-04-28,C1003,P102,13,149.50
2023-04-28,C1004,P104,4,299.00
2023-04-28,C1005,P104,12,299.00
2023-04-28,C1006,P104,12,0.00
2023-04-28,C1001,P101,11,0.00
2023-04-28,C1002,P103,3,0.00
2023-04-29,C1003,P103,8,0.00
2023-04-29,C1004,P101,7,89.99
2023-04-29,C1005,P103,9,0.00
2023-04-29,C1006,P102,9,149.50
2023-04-29,C1001,P104,7,299.00
2023-04-29,C1002,P103,15,0.00
2023-04-29,C1003,P101,13,0.00
2023-04-29,C1004,P103,12,0.00
2023-04-29,C1005,P101,17,89.99
2023-04-29,C1006,P102,7,0.00
2023-04-30,C1001,P101,11,0.00
2023-04-30,C1002,P102,9,0.00
2023-04-30,C1003,P101,9,89.99
2023-04-30,C1004,P101,6,89.99
2023-04-30,C1005,P103,11,0.00
2023-04-30,C1006,P103,10,45.00
2023-04-30,C1001,P102,12,0.00
2023-04-30,C1002,P101,13,89.99
2023-04-30,C1003,P104,9,0.00
2023-04-30,C1004,P102,6,149.50
2023-05-01,C1005,P101,19,0.00
2023-05-01,C1006,P104,12,299.00
2023-05-01,C1001,P104,13,299.00
2023-05-01,C1002,P102,1,0.00
2023-05-01,C1003,P102,18,149.50
2023-05-01,C1004,P101,9,0.00
2023-05-01,C1005,P102,18,149.50
