date,store_id,product_id,sales_amount,units_sold
2023-04-17,S001,P101,15921.42,126
2023-04-17,S002,P102,9766.23,79
2023-04-17,S003,P103,12906.32,98
2023-04-17,S004,P101,10457.05,82
2023-04-17,S005,P104,12533.50,100
2023-04-18,S001,P101,16186.84,134
2023-04-18,S002,P102,10073.33,80
2023-04-18,S003,P103,12650.35,98
2023-04-18,S004,P101,10444.71,86
2023-04-18,S005,P104,12695.14,101
2023-04-19,S001,P101,16405.80,125
2023-04-19,S002,P102,9754.92,79
2023-04-19,S003,P103,13460.86,106
2023-04-19,S004,P101,10516.97,84
2023-04-19,S005,P104,13078.17,101
2023-04-20,S001,P101,16466.64,125
2023-04-20,S002,P102,8954.30,70
2023-04-20,S003,P103,12638.61,103
2023-04-20,S004,P101,10650.77,82
2023-04-20,S005,P104,13150.06,102
2023-04-21,S001,P101,17312.58,137
2023-04-21,S002,P102,10688.54,87
2023-04-21,S003,P103,14380.90,116
2023-04-21,S004,P101,11450.01,92
2023-04-21,S005,P104,13433.46,105
2023-04-22,S001,P101,17120.63,139
2023-04-22,S002,P102,10586.92,90
2023-04-22,S003,P103,13717.14,106
2023-04-22,S004,P101,11517.16,96
2023-04-22,S005,P104,13995.71,114
2023-04-23,S001,P101,18296.36,145
2023-04-23,S002,P102,10194.02,80
2023-04-23,S003,P103,14603.40,111
2023-04-23,S004,P101,11249.56,90
2023-04-23,S005,P104,13658.75,111
2023-04-24,S001,P101,16626.61,142
2023-04-24,S002,P102,10238.52,80
2023-04-24,S003,P103,12951.60,101
2023-04-24,S004,P101,10846.02,85
2023-04-24,S005,P104,12892.03,105
2023-04-25,S001,P101,15881.28,125
2023-04-25,S002,P102,9381.21,72
2023-04-25,S003,P103,12983.66,105
2023-04-25,S004,P101,10960.70,87
2023-04-25,S005,P104,13084.59,105
2023-04-26,S001,P101,17003.04,139
2023-04-26,S002,P102,10171.05,78
2023-04-26,S003,P103,13724.34,111
2023-04-26,S004,P101,10993.74,87
2023-04-26,S005,P104,13902.37,110
2023-04-27,S001,P101,17344.48,139
2023-04-27,S002,P102,9914.80,76
2023-04-27,S003,P103,13252.40,110
2023-04-27,S004,P101,10852.52,88
2023-04-27,S005,P104,11950.20,97
2023-04-28,S001,P101,17958.21,141
2023-04-28,S002,P102,10622.62,84
2023-04-28,S003,P103,15146.63,117
2023-04-28,S004,P101,11168.32,92
2023-04-28,S005,P104,13796.58,109
2023-04-29,S001,P101,17719.02,136
2023-04-29,S002,P102,10955.15,84
2023-04-29,S003,P103,14776.99,118
2023-04-29,S004,P101,12250.43,98
2023-04-29,S005,P104,14668.28,112
2023-04-30,S001,P101,17622.31,142
2023-04-30,S002,P102,11531.60,87
2023-04-30,S003,P103,14860.60,120
2023-04-30,S004,P101,11975.56,97
2023-04-30,S005,P104,14101.80,111
2023-05-01,S001,P101,15781.50,126
2023-05-01,S002,P102,10140.95,86
2023-05-01,S003,P103,13164.41,106
2023-05-01,S004,P101,9994.23,79
2023-05-01,S005,P104,13315.29,109
2023-05-02,S001,P101,17433.65,139
2023-05-02,S002,P102,9834.24,79
2023-05-02,S003,P103,13738.04,111
2023-05-02,S004,P101,10353.41,85
2023-05-02,S005,P104,13272.42,108
2023-05-03,S001,P101,17363.18,141
2023-05-03,S002,P102,10365.72,88
2023-05-03,S003,P103,13638.63,108
2023-05-03,S004,P101,10690.22,89
2023-05-03,S005,P104,13322.93,108
2023-05-04,S001,P101,17349.67,136
2023-05-04,S002,P102,9666.78,78
2023-05-04,S003,P103,13663.26,107
2023-05-04,S004,P101,11005.97,89
2023-05-04,S005,P104,12846.45,104
2023-05-05,S001,P101,17747.60,135
2023-05-05,S002,P102,11196.81,89
2023-05-05,S003,P103,14186.15,115
2023-05-05,S004,P101,11657.78,91
2023-05-05,S005,P104,14443.63,119
2023-05-06,S001,P101,17470.24,141
2023-05-06,S002,P102,11059.77,94
2023-05-06,S003,P103,13680.43,111
2023-05-06,S004,P101,11364.09,90
2023-05-06,S005,P104,15168.98,121
2023-05-07,S001,P101,19274.50,152
2023-05-07,S002,P102,11209.61,88
2023-05-07,S003,P103,14272.79,114
2023-05-07,S004,P101,11390.82,91
2023-05-07,S005,P104,13360.20,113
2023-05-08,S001,P101,16661.36,140
2023-05-08,S002,P102,10025.14,80
2023-05-08,S003,P103,15193.03,118
2023-05-08,S004,P101,10148.63,79
2023-05-08,S005,P104,13659.57,111
2023-05-09,S001,P101,17566.90,139
2023-05-09,S002,P102,9834.76,77
2023-05-09,S003,P103,14298.22,115
2023-05-09,S004,P101,9984.60,79
2023-05-09,S005,P104,14118.55,120
2023-05-10,S001,P101,17160.32,138
2023-05-10,S002,P102,9988.58,77
2023-05-10,S003,P103,13754.02,111
2023-05-10,S004,P101,10995.83,86
2023-05-10,S005,P104,12978.11,101
2023-05-11,S001,P101,16159.25,131
2023-05-11,S002,P102,9625.71,76
2023-05-11,S003,P103,13975.54,116
2023-05-11,S004,P101,10812.77,89
2023-05-11,S005,P104,13356.50,104
2023-05-12,S001,P101,17678.42,147
2023-05-12,S002,P102,11558.71,93
2023-05-12,S003,P103,16345.74,130
2023-05-12,S004,P101,11828.14,95
2023-05-12,S005,P104,14389.44,123
2023-05-13,S001,P101,19016.11,145
2023-05-13,S002,P102,11079.10,89
2023-05-13,S003,P103,15150.25,116
2023-05-13,S004,P101,10716.66,80
2023-05-13,S005,P104,14489.67,115
2023-05-14,S001,P101,18347.85,143
2023-05-14,S002,P102,10804.14,81
2023-05-14,S003,P103,14958.93,121
2023-05-14,S004,P101,12005.70,98
2023-05-14,S005,P104,14464.94,120
2023-05-15,S001,P101,16886.93,132
2023-05-15,S002,P102,10358.86,81
2023-05-15,S003,P103,12827.46,103
2023-05-15,S004,P101,10945.72,86
2023-05-15,S005,P104,13333.99,107
2023-05-16,S001,P101,18026.37,144
2023-05-16,S002,P102,10384.49,81
2023-05-16,S003,P103,13859.11,106
2023-05-16,S004,P101,10813.71,86
2023-05-16,S005,P104,14539.99,119
2023-05-17,S001,P101,17643.61,138
2023-05-17,S002,P102,10828.95,83
2023-05-17,S003,P103,14067.38,113
2023-05-17,S004,P101,10577.13,89
2023-05-17,S005,P104,13980.90,105
2023-05-18,S001,P101,17381.30,137
2023-05-18,S002,P102,10608.36,86
2023-05-18,S003,P103,14129.61,106
2023-05-18,S004,P101,10437.97,85
2023-05-18,S005,P104,14346.30,121
2023-05-19,S001,P101,19357.32,145
2023-05-19,S002,P102,11624.52,87
2023-05-19,S003,P103,15700.67,126
2023-05-19,S004,P101,11242.87,95
2023-05-19,S005,P104,14991.19,113
2023-05-20,S001,P101,18476.77,144
2023-05-20,S002,P102,11406.76,89
2023-05-20,S003,P103,15608.86,119
2023-05-20,S004,P101,11828.50,99
2023-05-20,S005,P104,14341.14,115
2023-05-21,S001,P101,18446.59,144
2023-05-21,S002,P102,11618.67,93
2023-05-21,S003,P103,14519.46,122
2023-05-21,S004,P101,12027.97,95
2023-05-21,S005,P104,14454.61,112
2023-05-22,S001,P101,17888.08,142
2023-05-22,S002,P102,10849.10,86
2023-05-22,S003,P103,14330.68,114
2023-05-22,S004,P101,11246.37,89
2023-05-22,S005,P104,14234.38,116
2023-05-23,S001,P101,17103.08,133
2023-05-23,S002,P102,10363.06,81
2023-05-23,S003,P103,13584.02,111
2023-05-23,S004,P101,10941.64,91
2023-05-23,S005,P104,14925.89,119
2023-05-24,S001,P101,16267.19,128
2023-05-24,S002,P102,10691.71,81
2023-05-24,S003,P103,13957.55,112
2023-05-24,S004,P101,10792.48,84
2023-05-24,S005,P104,13552.34,114
